zip_code,city,state,region_id,msa_name,median_home_value,median_rent,days_pending,price_cuts_percent,market_heat,price_to_rent
01001,AGAWAM,MA,395115,"Springfield, MA",353992.69,8600.0,30.0,0.2,66.0,3.43
01008,BLANDFORD,MA,395115,"Springfield, MA",353992.69,8600.0,30.0,0.2,66.0,3.43
01009,BONDSVILLE,MA,395115,"Springfield, MA",353992.69,8600.0,30.0,0.2,66.0,3.43
01010,BRIMFIELD,MA,395115,"Springfield, MA",353992.69,8600.0,30.0,0.2,66.0,3.43
01011,CHESTER,MA,395115,"Springfield, MA",353992.69,8600.0,30.0,0.2,66.0,3.43
01013,CHICOPEE,MA,395115,"Springfield, MA",353992.69,8600.0,30.0,0.2,66.0,3.43
01014,CHICOPEE,MA,395115,"Springfield, MA",353992.69,8600.0,30.0,0.2,66.0,3.43
01020,CHICOPEE,MA,395115,"Springfield, MA",353992.69,8600.0,30.0,0.2,66.0,3.43
01021,CHICOPEE,MA,395115,"Springfield, MA",353992.69,8600.0,30.0,0.2,66.0,3.43
01022,CHICOPEE,MA,395115,"Springfield, MA",353992.69,8600.0,30.0,0.2,66.0,3.43
01028,EAST LONGMEADOW,MA,395115,"Springfield, MA",353992.69,8600.0,30.0,0.2,66.0,3.43
01030,FEEDING HILLS,MA,395115,"Springfield, MA",353992.69,8600.0,30.0,0.2,66.0,3.43
01034,GRANVILLE,MA,395115,"Springfield, MA",353992.69,8600.0,30.0,0.2,66.0,3.43
01036,HAMPDEN,MA,395115,"Springfield, MA",353992.69,8600.0,30.0,0.2,66.0,3.43
01040,HOLYOKE,MA,395115,"Springfield, MA",353992.69,8600.0,30.0,0.2,66.0,3.43
01041,HOLYOKE,MA,395115,"Springfield, MA",353992.69,8600.0,30.0,0.2,66.0,3.43
01056,LUDLOW,MA,395115,"Springfield, MA",353992.69,8600.0,30.0,0.2,66.0,3.43
01057,MONSON,MA,395115,"Springfield, MA",353992.69,8600.0,30.0,0.2,66.0,3.43
01069,PALMER,MA,395115,"Springfield, MA",353992.69,8600.0,30.0,0.2,66.0,3.43
01071,RUSSELL,MA,395115,"Springfield, MA",353992.69,8600.0,30.0,0.2,66.0,3.43
01077,SOUTHWICK,MA,395115,"Springfield, MA",353992.69,8600.0,30.0,0.2,66.0,3.43
01080,THREE RIVERS,MA,395115,"Springfield, MA",353992.69,8600.0,30.0,0.2,66.0,3.43
01081,WALES,MA,395115,"Springfield, MA",353992.69,8600.0,30.0,0.2,66.0,3.43
01085,WESTFIELD,MA,395115,"Springfield, MA",353992.69,8600.0,30.0,0.2,66.0,3.43
01086,WESTFIELD,MA,395115,"Springfield, MA",353992.69,8600.0,30.0,0.2,66.0,3.43
01089,WEST SPRINGFIELD,MA,395115,"Springfield, MA",353992.69,8600.0,30.0,0.2,66.0,3.43
01090,WEST SPRINGFIELD,MA,395115,"Springfield, MA",353992.69,8600.0,30.0,0.2,66.0,3.43
01095,WILBRAHAM,MA,395115,"Springfield, MA",353992.69,8600.0,30.0,0.2,66.0,3.43
01101,SPRINGFIELD,MA,395115,"Springfield, MA",353992.69,8600.0,30.0,0.2,66.0,3.43
01103,SPRINGFIELD,MA,395115,"Springfield, MA",353992.69,8600.0,30.0,0.2,66.0,3.43
01104,SPRINGFIELD,MA,395115,"Springfield, MA",353992.69,8600.0,30.0,0.2,66.0,3.43
01105,SPRINGFIELD,MA,395115,"Springfield, MA",353992.69,8600.0,30.0,0.2,66.0,3.43
01106,LONGMEADOW,MA,395115,"Springfield, MA",353992.69,8600.0,30.0,0.2,66.0,3.43
01107,SPRINGFIELD,MA,395115,"Springfield, MA",353992.69,8600.0,30.0,0.2,66.0,3.43
01108,SPRINGFIELD,MA,395115,"Springfield, MA",353992.69,8600.0,30.0,0.2,66.0,3.43
01109,SPRINGFIELD,MA,395115,"Springfield, MA",353992.69,8600.0,30.0,0.2,66.0,3.43
01116,LONGMEADOW,MA,395115,"Springfield, MA",353992.69,8600.0,30.0,0.2,66.0,3.43
01118,SPRINGFIELD,MA,395115,"Springfield, MA",353992.69,8600.0,30.0,0.2,66.0,3.43
01119,SPRINGFIELD,MA,395115,"Springfield, MA",353992.69,8600.0,30.0,0.2,66.0,3.43
01128,SPRINGFIELD,MA,395115,"Springfield, MA",353992.69,8600.0,30.0,0.2,66.0,3.43
01129,SPRINGFIELD,MA,395115,"Springfield, MA",353992.69,8600.0,30.0,0.2,66.0,3.43
